company_name,Job_Position,Questions,Answers
Wipro,Machine Learning,What is the difference between a parametric and a non-parametric model?,"Parametric models assume a specific form for the function, while non-parametric models do not make such assumptions."
Wipro,Machine Learning,Explain the concept of gradient descent and its variants.,Gradient descent is an optimization algorithm used to minimize a function by iteratively moving towards the steepest descent.
Wipro,Machine Learning,What is feature engineering and why is it important?,Feature engineering involves creating new features or modifying existing ones to improve model performance.
Wipro,Machine Learning,How do you handle imbalanced datasets?,"Imbalanced datasets can be handled using techniques like resampling, SMOTE, or adjusting class weights."
Wipro,Machine Learning,What is the role of a hyperparameter in machine learning?,Hyperparameters are configuration settings used to tune the performance of machine learning models.
Wipro,Machine Learning,Explain the concept of ensemble learning.,Ensemble learning combines predictions from multiple models to improve overall performance.
Wipro,Machine Learning,How does a decision tree algorithm work?,"A decision tree splits data into subsets based on feature values, forming a tree-like structure."
Wipro,Machine Learning,What is the k-nearest neighbors algorithm?,The k-nearest neighbors algorithm classifies data points based on the majority class of their nearest neighbors.
Wipro,Machine Learning,Describe how a support vector machine works.,A support vector machine finds the hyperplane that best separates different classes in the feature space.
Wipro,Machine Learning,How do you assess the performance of a regression model?,"The performance of a regression model is assessed using metrics like RMSE, MAE, and R^2 score."
Wipro,NLP,What are the challenges in NLP?,"Challenges in NLP include handling ambiguity, understanding context, and processing diverse languages."
Wipro,NLP,Explain the concept of bag-of-words.,Bag-of-words is a representation of text data where each word is represented by its frequency in the document.
Wipro,NLP,What is a POS tagger and how does it work?,"A POS tagger assigns parts of speech (e.g., noun, verb) to each word in a sentence."
Wipro,NLP,Describe the term 'sentiment analysis'.,"Sentiment analysis involves determining the sentiment expressed in a text, such as positive, negative, or neutral."
Wipro,NLP,What is the difference between rule-based NLP and statistical NLP?,"Rule-based NLP relies on predefined linguistic rules, while statistical NLP uses machine learning models."
Wipro,NLP,Explain the use of recurrent neural networks in NLP.,Recurrent neural networks (RNNs) are used in NLP to process sequences of text by maintaining a memory of previous inputs.
Wipro,NLP,What is attention mechanism in NLP models?,The attention mechanism in NLP models helps focus on specific parts of the input sequence when generating outputs.
Wipro,NLP,How do you preprocess text data for NLP tasks?,"Preprocessing text data for NLP tasks includes tokenization, stemming, lemmatization, and removing stop words."
Wipro,NLP,What are sequence-to-sequence models?,"Sequence-to-sequence models are used for tasks like translation, where an input sequence is transformed into an output sequence."
Wipro,NLP,Explain the concept of topic modeling.,Topic modeling identifies the underlying themes or topics in a collection of documents.
Wipro,Python,What are the differences between Python 2 and Python 3?,"Python 3 introduced several improvements over Python 2, such as better Unicode support and improved syntax."
Wipro,Python,How do you use list slicing in Python?,List slicing in Python allows you to extract a portion of a list using the format list[start:stop:step].
Wipro,Python,What is a Python dictionary and how do you use it?,"A Python dictionary is a collection of key-value pairs, where each key is unique."
Wipro,Python,Explain the concept of Python's GIL (Global Interpreter Lock).,"Python's GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python bytecodes simultaneously."
Wipro,Python,What are metaclasses in Python?,"Metaclasses in Python are classes of classes, used to control class creation and behavior."
Wipro,Python,How do you handle memory management in Python?,"Memory management in Python is handled by the garbage collector, which automatically frees up memory."
Wipro,Python,What is the use of 'self' in Python classes?,'self' in Python classes refers to the instance of the class and is used to access instance variables and methods.
Wipro,Python,Explain the difference between @staticmethod and @classmethod.,"@staticmethod is used to define methods that do not require access to the class or instance, while @classmethod methods receive the class as the first argument."
Wipro,Python,How do you debug a Python program?,"Debugging a Python program can be done using tools like pdb, logging, and IDEs with built-in debuggers."
Wipro,Python,What are Python's built-in functions?,"Python's built-in functions include len(), type(), range(), map(), and many others."
Wipro,Data Analytics,What is the importance of data quality in analytics?,Data quality is crucial in analytics as it directly impacts the accuracy and reliability of insights.
Wipro,Data Analytics,How do you perform data normalization?,"Data normalization scales numerical data to a common range, typically using min-max scaling or z-score standardization."
Wipro,Data Analytics,What is the role of a data analyst in a company?,"A data analyst's role is to collect, process, and analyze data to help make informed business decisions."
Wipro,Data Analytics,Explain the concept of A/B testing.,A/B testing compares two versions of a variable to determine which performs better.
Wipro,Data Analytics,What are some common data aggregation techniques?,"Data aggregation techniques include summing, averaging, and grouping data based on specific criteria."
Wipro,Data Analytics,How do you use SQL in data analytics?,SQL is used in data analytics for querying and manipulating relational databases.
Wipro,Data Analytics,What is the difference between a data warehouse and a data lake?,"A data warehouse is designed for storing large volumes of structured data, while a data lake can store both structured and unstructured data."
Wipro,Data Analytics,Explain the concept of time series forecasting.,Time series forecasting predicts future values based on previously observed values.
Wipro,Data Analytics,How do you create a dashboard for data visualization?,Creating a dashboard involves using visualization tools like Tableau or Power BI to present data insights interactively.
Wipro,Data Analytics,What are some common challenges in data analytics projects?,"Common challenges in data analytics projects include data quality issues, integrating multiple data sources, and ensuring data privacy."
Wipro,Data Science,How do you choose the right evaluation metric for a data science model?,"The choice of evaluation metric depends on the problem type, such as accuracy for classification or RMSE for regression."
Wipro,Data Science,What is feature selection and why is it important?,Feature selection involves selecting the most relevant features to improve model performance and reduce overfitting.
Wipro,Data Science,Explain the concept of neural networks.,"Neural networks are a set of algorithms modeled after the human brain, used to recognize patterns and relationships in data."
Wipro,Data Science,How do you handle categorical data in machine learning?,"Categorical data can be handled using techniques like one-hot encoding, label encoding, or embedding."
Wipro,Data Science,What are the differences between bagging and boosting?,"Bagging reduces variance by averaging predictions from multiple models, while boosting reduces bias by combining weak learners."
Wipro,Data Science,Explain the importance of cross-validation in model evaluation.,Cross-validation is important for evaluating a model's performance on unseen data.
Wipro,Data Science,How do you implement a recommendation system?,"A recommendation system can be implemented using collaborative filtering, content-based filtering, or hybrid methods."
Wipro,Data Science,What is the difference between batch and online learning?,"Batch learning processes the entire dataset at once, while online learning updates the model incrementally with each data point."
Wipro,Data Science,How do you ensure the reproducibility of your data science experiments?,"Reproducibility in data science experiments is ensured by using version control, documenting workflows, and sharing data and code."
Wipro,Data Science,What is anomaly detection and how is it used in data science?,"Anomaly detection identifies unusual patterns or outliers in data, useful in fraud detection and monitoring systems."
Infosys,Machine Learning,What is the difference between supervised and unsupervised learning?,"Supervised learning involves labeled data, while unsupervised learning involves unlabeled data."
Infosys,Machine Learning,Explain the concept of overfitting and how to prevent it.,"Overfitting occurs when a model learns noise instead of the signal. It can be prevented using cross-validation, regularization, and pruning."
Infosys,Machine Learning,What is a confusion matrix and how is it used?,A confusion matrix is a table used to evaluate the performance of a classification model by comparing predicted and actual values.
Infosys,Machine Learning,How do you choose the right machine learning algorithm for your problem?,"The choice of algorithm depends on the problem type, data size, interpretability, training time, and performance requirements."
Infosys,Machine Learning,What is cross-validation and why is it important?,Cross-validation is a technique to assess the generalizability of a model by dividing data into training and validation sets.
Infosys,Machine Learning,Describe the bias-variance tradeoff.,The bias-variance tradeoff involves balancing underfitting (high bias) and overfitting (high variance).
Infosys,Machine Learning,What are precision and recall? How are they calculated?,Precision is the ratio of true positives to total predicted positives. Recall is the ratio of true positives to total actual positives.
Infosys,Machine Learning,Explain the concept of regularization in machine learning.,Regularization adds a penalty to the loss function to prevent overfitting by discouraging complex models.
Infosys,Machine Learning,What is a ROC curve and what does it represent?,"A ROC curve plots true positive rate against false positive rate, representing a model's performance across different thresholds."
Infosys,Machine Learning,How do you handle missing data in a dataset?,"Missing data can be handled by imputation, deletion, or using algorithms that support missing values."
Infosys,NLP,What is tokenization in NLP?,Tokenization is the process of splitting text into individual words or tokens.
Infosys,NLP,Explain the difference between stemming and lemmatization.,"Stemming reduces words to their root form, while lemmatization reduces words to their base or dictionary form."
Infosys,NLP,What is TF-IDF and how is it used?,"TF-IDF stands for Term Frequency-Inverse Document Frequency, a statistic that reflects the importance of a word in a document relative to a collection."
Infosys,NLP,Describe the architecture of a Transformer model.,A Transformer model uses self-attention mechanisms to process sequences of data in parallel.
Infosys,NLP,What is word embedding and why is it important in NLP?,"Word embedding is a technique to map words into continuous vector space, capturing semantic meanings."
Infosys,NLP,How do you evaluate the performance of an NLP model?,"Performance of NLP models can be evaluated using metrics like accuracy, precision, recall, F1-score, and BLEU score."
Infosys,NLP,What are stop words and why are they removed?,"Stop words are common words (e.g., 'the', 'is') that are often removed to reduce noise in text data."
Infosys,NLP,Explain the concept of Named Entity Recognition (NER).,"Named Entity Recognition (NER) identifies and classifies entities (e.g., names, dates) in text."
Infosys,NLP,What is a language model?,"A language model predicts the probability of a sequence of words, useful in generating and understanding text."
Infosys,NLP,How do you handle out-of-vocabulary words in NLP?,Out-of-vocabulary words can be handled using techniques like subword tokenization or using unknown tokens.
Infosys,Python,What are Python's built-in data types?,"Python's built-in data types include int, float, str, list, tuple, dict, set, and bool."
Infosys,Python,Explain the concept of list comprehensions in Python.,List comprehensions provide a concise way to create lists using a single line of code.
Infosys,Python,How do you handle exceptions in Python?,"Exceptions in Python are handled using try, except, else, and finally blocks."
Infosys,Python,What are decorators in Python and how are they used?,Decorators are functions that modify the behavior of other functions or methods.
Infosys,Python,Explain the difference between deep copy and shallow copy in Python.,"A deep copy creates a new object and recursively copies all objects, while a shallow copy copies references to the objects."
Infosys,Python,How do you work with files in Python?,"Files in Python are handled using open(), read(), write(), and close() functions."
Infosys,Python,What is the use of the 'with' statement in Python?,"The 'with' statement is used for resource management, ensuring proper acquisition and release of resources."
Infosys,Python,How do you manage packages in Python?,Packages in Python are managed using pip and virtual environments.
Infosys,Python,Explain the concept of generators in Python.,Generators in Python are functions that return an iterator and can be used to generate sequences of values lazily.
Infosys,Python,What are lambda functions in Python?,Lambda functions are small anonymous functions defined using the lambda keyword.
Infosys,Data Analytics,What is the difference between data analysis and data analytics?,"Data analysis involves inspecting, cleaning, and modeling data, while data analytics focuses on applying statistical techniques to derive insights."
Infosys,Data Analytics,How do you clean and preprocess data?,"Data cleaning involves handling missing values, removing duplicates, and correcting errors in the dataset."
Infosys,Data Analytics,What are the key steps in a data analytics project?,"Key steps in a data analytics project include data collection, cleaning, exploration, modeling, and interpretation."
Infosys,Data Analytics,Explain the concept of exploratory data analysis (EDA).,Exploratory data analysis (EDA) involves summarizing the main characteristics of data often using visual methods.
Infosys,Data Analytics,What are some common data visualization techniques?,"Common data visualization techniques include histograms, bar charts, scatter plots, and box plots."
Infosys,Data Analytics,How do you handle outliers in a dataset?,"Outliers can be handled by removing them, transforming the data, or using robust statistical methods."
Infosys,Data Analytics,What is a pivot table and how is it used?,A pivot table is a data summarization tool used in spreadsheets and databases.
Infosys,Data Analytics,Explain the concept of correlation and covariance.,"Correlation measures the strength of a linear relationship between two variables, while covariance indicates the direction of this relationship."
Infosys,Data Analytics,What are the different types of data distributions?,"Types of data distributions include normal, binomial, Poisson, and uniform distributions."
Infosys,Data Analytics,How do you perform hypothesis testing in data analytics?,Hypothesis testing involves making inferences about populations based on sample data using tests like t-tests and chi-square tests.
Infosys,Data Science,What is the CRISP-DM process in data science?,"The CRISP-DM process involves business understanding, data understanding, data preparation, modeling, evaluation, and deployment."
Infosys,Data Science,How do you select important features for a model?,"Important features can be selected using techniques like feature importance scores, correlation matrices, and recursive feature elimination."
Infosys,Data Science,Explain the difference between classification and regression.,"Classification involves predicting categorical labels, while regression predicts continuous values."
Infosys,Data Science,What is the purpose of dimensionality reduction?,"Dimensionality reduction reduces the number of features in a dataset, improving model performance and reducing overfitting."
Infosys,Data Science,How do you validate a data science model?,"Model validation is performed using techniques like cross-validation, holdout validation, and bootstrapping."
Infosys,Data Science,What are ensemble methods in machine learning?,"Ensemble methods combine multiple models to improve overall performance, e.g., bagging and boosting."
Infosys,Data Science,Explain the concept of clustering in data science.,Clustering groups similar data points together based on feature similarity.
Infosys,Data Science,What is time series analysis?,Time series analysis involves analyzing data points collected or recorded at specific time intervals.
Infosys,Data Science,How do you interpret the results of a data science model?,"Interpreting model results involves understanding metrics like accuracy, precision, recall, and analyzing model outputs."
Infosys,Data Science,What are some common pitfalls in data science projects?,"Common pitfalls in data science projects include data leakage, overfitting, and ignoring domain knowledge."
TCS,ML,What is the difference between supervised and unsupervised learning?,"Supervised learning involves training a model on labeled data, whereas unsupervised learning involves training a model on unlabeled data."
TCS,ML,What is overfitting and how can you prevent it?,"Overfitting occurs when a model learns the training data too well, including noise. It can be prevented by using techniques such as cross-validation, pruning, regularization, and using more training data."
TCS,ML,Explain the bias-variance tradeoff.,The bias-variance tradeoff is the balance between a model's ability to minimize bias and variance. Low bias can lead to underfitting and low variance can lead to overfitting.
TCS,ML,What is a confusion matrix and how is it used?,A confusion matrix is a table used to evaluate the performance of a classification model by comparing the actual and predicted classifications.
TCS,NLP,What is tokenization in NLP?,Tokenization is the process of splitting text into individual words or phrases called tokens.
TCS,NLP,Explain the concept of word embeddings.,"Word embeddings are vector representations of words that capture their meanings, semantics, and relationships with other words."
TCS,NLP,What is the difference between Bag of Words and TF-IDF?,"Bag of Words is a representation of text that describes the occurrence of words within a document, while TF-IDF also considers the importance of the word by looking at its frequency and inverse document frequency."
TCS,NLP,What is named entity recognition (NER)?,"Named entity recognition (NER) is the process of identifying and classifying named entities (such as people, organizations, locations) in text."
TCS,Python,What are Python decorators and how are they used?,Python decorators are functions that modify the behavior of other functions or methods. They are used to add functionality to an existing code.
TCS,Python,Explain the difference between lists and tuples in Python.,"Lists are mutable sequences, while tuples are immutable sequences."
TCS,Python,What is the purpose of the 'self' keyword in Python?,'self' is used in instance methods to refer to the instance of the class.
TCS,Python,How does Python's garbage collection work?,Python uses reference counting and a cyclic garbage collector to manage memory automatically.
TCS,Data Science,What is the CRISP-DM methodology?,"CRISP-DM stands for Cross-Industry Standard Process for Data Mining, which is a process model with six phases that describes the life cycle of a data science project."
TCS,Data Science,Explain the concept of cross-validation.,"Cross-validation is a technique for assessing how a predictive model will generalize to an independent dataset. It involves partitioning the data into complementary subsets, training the model on one subset, and validating it on the other."
TCS,Data Science,What is a confusion matrix and how is it used in classification problems?,A confusion matrix is used to describe the performance of a classification model by presenting a summary of the correct and incorrect classifications.
TCS,Data Science,Describe the difference between Type I and Type II errors.,"Type I error (false positive) occurs when a true null hypothesis is incorrectly rejected, while Type II error (false negative) occurs when a false null hypothesis is not rejected."
TCS,Data Analytics,What are the different types of data analytics?,"The different types of data analytics are descriptive analytics, diagnostic analytics, predictive analytics, and prescriptive analytics."
TCS,Data Analytics,Explain the difference between descriptive and inferential statistics.,"Descriptive statistics summarize the main features of a dataset, whereas inferential statistics make predictions or inferences about a population based on a sample of data."
TCS,Data Analytics,What is hypothesis testing in data analytics?,Hypothesis testing is a statistical method used to make decisions about the properties of a population based on a sample.
TCS,Data Analytics,How do you handle missing data in a dataset?,"Missing data can be handled by techniques such as deletion, mean/mode/median imputation, or more advanced methods like K-nearest neighbors or multiple imputation."
HCL Technologies,Machine Learning,What is the difference between supervised and unsupervised learning?,Supervised learning uses labeled data to train models
HCL Technologies,Machine Learning,What is overfitting and how can you prevent it?,Overfitting occurs when a model learns the training data too well and fails to generalize to new data. It can be prevented by using techniques like cross-validation
HCL Technologies,Machine Learning,Explain the concept of cross-validation.,Cross-validation is a technique used to assess the performance of a model by splitting the data into training and testing sets multiple times and averaging the results.
HCL Technologies,Machine Learning,What is a confusion matrix?,A confusion matrix is a table used to evaluate the performance of a classification model by comparing the actual and predicted values.
HCL Technologies,Machine Learning,What is the difference between bagging and boosting?,Bagging involves training multiple models in parallel on different subsets of data
HCL Technologies,Machine Learning,What are the advantages of using decision trees?,Decision trees are easy to interpret
HCL Technologies,Machine Learning,What is gradient descent?,Gradient descent is an optimization algorithm used to minimize the loss function of a model by iteratively updating the model parameters in the direction of the steepest descent.
HCL Technologies,Machine Learning,Explain the concept of feature selection.,Feature selection involves choosing the most relevant features from the dataset to improve the performance of a model and reduce overfitting.
HCL Technologies,Machine Learning,What is the bias-variance tradeoff?,The bias-variance tradeoff is the balance between the error introduced by bias (simplifying assumptions) and variance (sensitivity to training data) in a model.
HCL Technologies,Machine Learning,What is a support vector machine (SVM)?,A support vector machine is a supervised learning algorithm used for classification and regression tasks. It finds the optimal hyperplane that maximizes the margin between different classes.
HCL Technologies,Natural Language Processing,What is tokenization in NLP?,Tokenization is the process of splitting text into individual words or tokens.
HCL Technologies,Natural Language Processing,Explain the concept of word embeddings.,Word embeddings are vector representations of words that capture their meanings and relationships in a continuous vector space.
HCL Technologies,Natural Language Processing,What is the difference between stemming and lemmatization?,Stemming reduces words to their root form by removing suffixes
HCL Technologies,Natural Language Processing,What is a Bag of Words (BoW) model?,A Bag of Words model represents text as a collection of words without considering their order or context.
HCL Technologies,Natural Language Processing,What is TF-IDF?,TF-IDF (Term Frequency-Inverse Document Frequency) is a numerical statistic that reflects the importance of a word in a document relative to a collection of documents.
HCL Technologies,Natural Language Processing,Explain the concept of Named Entity Recognition (NER).,Named Entity Recognition is a technique used to identify and classify entities such as names
HCL Technologies,Natural Language Processing,What is the purpose of part-of-speech (POS) tagging?,POS tagging assigns part-of-speech labels (e.g.
HCL Technologies,Natural Language Processing,What are stop words?,Stop words are common words (e.g.
HCL Technologies,Natural Language Processing,Explain the concept of sentiment analysis.,Sentiment analysis is the process of determining the sentiment or emotional tone of a piece of text
HCL Technologies,Natural Language Processing,What is a language model?,A language model is a probabilistic model used to predict the likelihood of a sequence of words in a language.
HCL Technologies,Python,What are Python decorators?,Python decorators are functions that modify the behavior of other functions or methods.
HCL Technologies,Python,Explain the concept of list comprehensions in Python.,List comprehensions provide a concise way to create lists using a single line of code.
HCL Technologies,Python,What is the difference between 'append' and 'extend' methods in a list?,'Append' adds a single element to the end of a list
HCL Technologies,Python,What is a lambda function?,A lambda function is an anonymous
HCL Technologies,Python,What are Python generators?,Generators are functions that return an iterable sequence of values using the 'yield' keyword.
HCL Technologies,Python,What is the purpose of the 'with' statement in Python?,The 'with' statement is used to simplify exception handling and ensure proper resource management
HCL Technologies,Python,How does Python manage memory?,Python uses automatic memory management
HCL Technologies,Python,What are Python modules and packages?,Modules are individual Python files containing code
HCL Technologies,Python,What is the Global Interpreter Lock (GIL)?,The GIL is a mutex that protects access to Python objects
HCL Technologies,Python,What is the difference between 'deep copy' and 'shallow copy'?,A shallow copy creates a new object but inserts references into it to the objects found in the original
HCL Technologies,Data Analytics,What is the purpose of data normalization?,Data normalization scales numerical data to a standard range
HCL Technologies,Data Analytics,Explain the concept of data imputation.,Data imputation involves replacing missing values with substituted values
HCL Technologies,Data Analytics,What is the difference between descriptive and inferential statistics?,Descriptive statistics summarize and describe data
HCL Technologies,Data Analytics,What is a time series analysis?,Time series analysis involves analyzing data points collected or recorded at specific time intervals to identify trends
HCL Technologies,Data Analytics,What is hypothesis testing?,Hypothesis testing is a statistical method used to determine if there is enough evidence to reject a null hypothesis in favor of an alternative hypothesis.
HCL Technologies,Data Analytics,Explain the concept of correlation.,Correlation measures the strength and direction of the linear relationship between two variables.
HCL Technologies,Data Analytics,What is the purpose of a scatter plot?,A scatter plot visualizes the relationship between two numerical variables by displaying data points on a two-dimensional graph.
HCL Technologies,Data Analytics,What is a p-value?,A p-value is the probability of obtaining results at least as extreme as the observed results
HCL Technologies,Data Analytics,What is the difference between regression and classification?,Regression predicts continuous numerical values
HCL Technologies,Data Analytics,What are the main steps in the data cleaning process?,Data cleaning involves identifying and handling missing values
HCL Technologies,Data Science,What is the CRISP-DM process?,CRISP-DM (Cross-Industry Standard Process for Data Mining) is a widely used data science methodology consisting of six phases: business understanding
HCL Technologies,Data Science,What is the role of a data scientist?,A data scientist analyzes and interprets complex data to help organizations make informed decisions and solve business problems.
HCL Technologies,Data Science,Explain the concept of feature engineering.,Feature engineering involves creating new features or modifying existing ones to improve the performance of machine learning models.
HCL Technologies,Data Science,What is the difference between a data lake and a data warehouse?,A data lake stores raw
HCL Technologies,Data Science,What is the importance of data visualization?,Data visualization helps communicate insights
HCL Technologies,Data Science,Explain the concept of A/B testing.,A/B testing is an experimental method used to compare two versions of a variable to determine which one performs better.
HCL Technologies,Data Science,What are the main differences between R and Python for data science?,R is primarily used for statistical analysis and visualization
HCL Technologies,Data Science,What is the purpose of exploratory data analysis (EDA)?,EDA involves summarizing and visualizing the main characteristics of a dataset to uncover patterns
HCL Technologies,Data Science,What is machine learning?,Machine learning is a subset of artificial intelligence that involves training algorithms to learn patterns and make predictions from data.
HCL Technologies,Data Science,Explain the concept of Big Data.,Big Data refers to extremely large datasets that cannot be easily managed
KPIT Tech,ML,What is supervised learning?,Supervised learning is a type of machine learning where the model is trained on labeled data.
KPIT Tech,ML,Explain overfitting and how to prevent it.,"Overfitting occurs when a model learns the noise in the training data. It can be prevented by using techniques such as cross-validation, pruning, and regularization."
KPIT Tech,ML,What is the bias-variance tradeoff?,"The bias-variance tradeoff is the balance between the error introduced by bias and the error introduced by variance. High bias can lead to underfitting, while high variance can lead to overfitting."
KPIT Tech,ML,What are some common algorithms for classification?,"Common classification algorithms include logistic regression, decision trees, random forests, support vector machines, and k-nearest neighbors."
KPIT Tech,ML,Explain the difference between classification and regression.,"Classification is the task of predicting a discrete label, while regression is the task of predicting a continuous value."
KPIT Tech,ML,What is a confusion matrix?,"A confusion matrix is a table used to evaluate the performance of a classification algorithm. It shows the true positives, false positives, true negatives, and false negatives."
KPIT Tech,ML,What is the ROC curve?,The ROC curve is a graphical representation of the performance of a classification model. It shows the tradeoff between the true positive rate and the false positive rate.
KPIT Tech,ML,What is cross-validation?,Cross-validation is a technique used to evaluate the performance of a model by splitting the data into training and validation sets multiple times.
KPIT Tech,ML,What is a neural network?,"A neural network is a computational model inspired by the human brain, consisting of layers of interconnected nodes."
KPIT Tech,ML,Explain the concept of gradient descent.,Gradient descent is an optimization algorithm used to minimize the loss function by iteratively updating the model parameters in the direction of the steepest descent.
KPIT Tech,NLP,What is tokenization in NLP?,"Tokenization is the process of splitting text into individual tokens, such as words or phrases."
KPIT Tech,NLP,Explain the concept of stemming.,Stemming is the process of reducing words to their root form by removing suffixes.
KPIT Tech,NLP,What is named entity recognition (NER)?,"Named entity recognition is a technique used to identify and classify named entities, such as people, organizations, and locations, in text."
